Name,Ingredients,Seasoning,Marinade,Sauce Mix,Procedure
air-fryer-xo-fish-balls-in-honey,['10 oz. fish paste'],"['3 ½ Tbsp. Lee Kum Kee XO Sauce (oil removed)', '2 Tbsp. honey']",[],[],"['\nAdd Lee Kum Kee XO Sauce into the fish paste\xa0and mix well.\n', '\nTake a small portion (around 0.8 oz.) and knead as a ball. Repeat the step until all the mixture are done.\n', '\nPut the fish balls in the air-fryer. Air-fry them at 392°F for 10 minutes.\n', '\nAdd in honey and toss well. Put it back to air-fryer again. Air-fry for 3 minutes at 356°F.\n', '\nTips:\n1. When cooking at home, wet your hands with water before you knead. It helps to avoid sticking your hands from the fish paste.\n\n2. Prepare a plate with plastic wrap and brush a layer of oil. Then put the fish balls\xa0in step 2 on the plate. It helps to avoid sticking the plate from the fish balls.\n']"
beef-and-broccoli-stir-fry,"['1 lb. broccoli florets', '1 lb. flank steak', '2 Tbsp. vegetable oil', '2 ea. garlic cloves, minced', '2 cups rice for serving (optional)', 'sesame seeds, for garnish (optional) ', 'cilantro, for garnish (optional) ', 'scallion, for garnish (optional)  ', 'microgreens, for garnish (optional)']",[],"['1 tsp. baking soda    ', '1 tsp. cornstarch    ', '1 Tbsp. Lee Kum Kee Panda Brand Cooking Soy Sauce      ', '1 tsp. Lee Kum Kee Pure Sesame Oil']","['2 oz. Lee Kum Kee Panda Brand Oyster Flavored Sauce', '2 tsp. Chinese rice wine (or white wine)', '1 tsp. Lee Kum Kee Chicken Bouillon ', '1/3 cup water', '1 tsp. cornstarch']","['\nPREPARE THE BROCCOLI. Blanch the broccoli in hot salted water for about 2 minutes or until slightly tender and dark green. Shock it in ice water and drain thoroughly.\xa0\xa0\n', '\nMARINATE THE BEEF. In a small bowl, whisk together the baking soda, cornstarch, Lee Kum Kee Cooking Soy Sauce, and Lee Kum Kee Pure Sesame Oil. Pour the mixed sauces over your thinly sliced beef flank steak and let it sit for at least 20 minutes in the refrigerator.\n\xa0\n', '\nCREATE THE SAUCE MIX. In a separate small bowl, stir together the Lee Kum Kee Panda Oyster Sauce, Chinese rice wine, Lee Kum Kee Chicken Bouillon, water, and cornstarch until the cornstarch is fully dissolved.\n', '\nSTIR-FRY. Heat a wok or a large skillet on high heat and add the oil. When a wisp of white smoke appears, toss the Lee Kum Kee Minced Garlic and marinated beef into the pan. Cook for about 1 minute, continually moving the beef slices so they are brown on all sides, but still rare. Once the beef is seared, add the broccoli and cook for an additional minute. Stir in the sauce and keep it all moving.\n', '\nFINISH AND SERVE. Don’t be afraid to scrape any bits off the bottom of the pan before it starts to burn. Once the sauce has turned into a nice thick glaze, serve immediately with garnishes (optional). Enjoy!\n']"
beef-and-broccoli-stir-fry,"['1 lb. broccoli florets', '1 lb. flank steak', '2 Tbsp. vegetable oil', '2 ea. garlic cloves, minced', '2 cups rice for serving (optional)', 'sesame seeds, for garnish (optional) ', 'cilantro, for garnish (optional) ', 'scallion, for garnish (optional)  ', 'microgreens, for garnish (optional)']",[],"['1 tsp. baking soda    ', '1 tsp. cornstarch    ', '1 Tbsp. Lee Kum Kee Panda Brand Cooking Soy Sauce      ', '1 tsp. Lee Kum Kee Pure Sesame Oil']","['2 oz. Lee Kum Kee Panda Brand Oyster Flavored Sauce', '2 tsp. Chinese rice wine (or white wine)', '1 tsp. Lee Kum Kee Chicken Bouillon ', '1/3 cup water', '1 tsp. cornstarch']","['\nPREPARE THE BROCCOLI. Blanch the broccoli in hot salted water for about 2 minutes or until slightly tender and dark green. Shock it in ice water and drain thoroughly.\xa0\xa0\n', '\nMARINATE THE BEEF. In a small bowl, whisk together the baking soda, cornstarch, Lee Kum Kee Cooking Soy Sauce, and Lee Kum Kee Pure Sesame Oil. Pour the mixed sauces over your thinly sliced beef flank steak and let it sit for at least 20 minutes in the refrigerator.\n\xa0\n', '\nCREATE THE SAUCE MIX. In a separate small bowl, stir together the Lee Kum Kee Panda Oyster Sauce, Chinese rice wine, Lee Kum Kee Chicken Bouillon, water, and cornstarch until the cornstarch is fully dissolved.\n', '\nSTIR-FRY. Heat a wok or a large skillet on high heat and add the oil. When a wisp of white smoke appears, toss the Lee Kum Kee Minced Garlic and marinated beef into the pan. Cook for about 1 minute, continually moving the beef slices so they are brown on all sides, but still rare. Once the beef is seared, add the broccoli and cook for an additional minute. Stir in the sauce and keep it all moving.\n', '\nFINISH AND SERVE. Don’t be afraid to scrape any bits off the bottom of the pan before it starts to burn. Once the sauce has turned into a nice thick glaze, serve immediately with garnishes (optional). Enjoy!\n']"
loaded-breakfast-hashbrown-waffles-recipe,"['Nonstick cooking spray', '1 (20 oz.) bag frozen shredded hash browns, thawed and squeezed very dry', '8 large eggs, divided', '1 tsp. garlic powder', '1 tsp. onion powder', '1/2 tsp. black pepper', '8 slices bacon', '2 Tbsp. butter', '1 cup shredded cheddar cheese', '2 green onions, thinly sliced']",['2 Tbsp. Lee Kum Kee Chili Crisp Hot Honey Sauce'],[],[],"['\nPreheat a waffle maker and lightly coat it with nonstick cooking spray. In a large bowl, mix the hash browns, 2 eggs, garlic powder, onion powder, and black pepper until combined.\n', '\nDivide the hash brown mixture into 4 portions and cook in the waffle maker until deeply golden and crisp, about 6–8 minutes per waffle depending on your machine.\n', '\nWhile the waffles cook, cook the bacon in a skillet until crisp. Transfer to a cutting board and roughly chop.\n', '\nIn the same skillet, whisk the remaining 6 eggs. Melt the butter over medium-low heat, add the eggs, and scramble gently. When almost set, fold in the cheddar cheese and cook until creamy and melted.\n', '\nPlace a hash brown waffle on each plate and top with cheesy scrambled eggs and chopped bacon. Finish with green onions and a drizzle of\xa0Lee Kum Kee Chili Crisp  Hot Honey Sauce.\n\xa0\nFind more breakfast and brunch recipes on our recipes page!\n']"
frozen-hot-pot-meal-prep-recipe,"['2 cups Napa cabbage, chopped ', '4 baby bok choy, halved', '4 oz. enoki mushrooms', '1 lb. thinly sliced beef (hot pot style slices)', '8 oz. firm tofu, cubed', '4 cups chicken or vegetable broth, divided']",[],"['2 Tbsp. Lee Kum Kee Premium Oyster Sauce', '2 Tbsp. Lee Kum Kee Premium Soy Sauce', '2 tsp. Lee Kum Kee Minced Garlic', '2 tsp. Lee Kum Kee Minced Ginger']",[],"['\nDivide Napa cabbage, baby bok choy, and tofu evenly into four freezer-safe glass containers.\n', '\nWrap small bundles of enoki mushrooms with the thinly sliced beef to create beef rolls and place them on top of the vegetables.\n', '\nIn a small bowl, mix Lee Kum Kee Premium Oyster Sauce, Lee Kum Kee Premium Soy Sauce, Lee Kum Kee Minced Garlic, and Lee Kum Kee Minced Ginger. Spoon the sauce mixture into each container. Leave headspace, cover, and freeze.\n', '\nTo cook, run the outside of the container briefly under warm water just until the frozen contents loosen. Invert the frozen hot pot pack directly into a pot of 1 cup boiling broth.\n', '\nSimmer 6–8 minutes until the beef rolls are cooked and vegetables are tender. Serve with Lee Kum Kee Hoisin Sauce on the side for dipping.\n\xa0\nGet more hot pot recipes on our recipes page!\n']"
buffalo-chicken-rangoons-recipe,"['1 cup shredded rotisserie chicken', '4 oz. cream cheese, softened', '½ cup shredded mozzarella cheese', '16 wonton wrappers', '1 large egg, beaten', '2 cups vegetable oil, for frying']","['3 Tbsp. buffalo sauce', '2 Tbsp. Lee Kum Kee Sriracha Mayo Dressing/Spread', '1 tsp. Lee Kum Kee Minced Garlic']",[],[],"['\nPull the meat from a rotisserie chicken and finely shred until you have about 1 cup of shredded chicken. In a bowl, combine shredded chicken, cream cheese, buffalo sauce, Lee Kum Kee Sriracha Mayo, Lee Kum Kee Minced Garlic, and mozzarella cheese. Mix until smooth and well combined.\n', '\nPlace a spoonful of filling in the center of each wonton wrapper. Brush the edges with beaten egg, fold into a triangle or pouch, and press firmly to seal.\n', '\nHeat vegetable oil in a skillet or pot to 350°F. Fry the rangoon in batches for 2–3 minutes until golden and crispy. Transfer to a paper towel–lined plate.\n', '\nIn a small bowl, stir together ranch dressing and Lee Kum Kee\xa0Chiu Chow Style\xa0Chili Crisp Oil until combined.\n', '\nServe the buffalo chicken rangoon hot with the chili crisp ranch dipping sauce.\n\xa0\nGet more Asian fusion\xa0appetizer recipes on our recipes page!\n']"
lomo-saltado-burrito-recipe,"['1 lb. sirloin steak, thinly sliced', '1 Tbsp. vegetable oil', '1 red onion, sliced', '1 tomato, sliced into wedges', '1 cup frozen French fries, cooked', '1 cup cooked white rice', '4 large flour tortillas']",['3 Tbsp. Lee Kum Kee Cilantro Lime Flavored Sriracha Sauce'],"['1 Tbsp. Lee Kum Kee Panda Brand Oyster Sauce', '1 Tbsp. Lee Kum Kee Premium Soy Sauce', '1 tsp. Lee Kum Kee Minced Garlic', '1 tsp. Lee Kum Kee Minced Ginger', '1 tsp. black pepper']",[],"['\nIn a bowl, toss the sliced steak with Lee Kum Kee Panda Brand Oyster Sauce, Lee Kum Kee Premium Soy Sauce, Lee Kum Kee Minced Garlic, Lee Kum Kee Minced Ginger, and black pepper. Let marinate 10 minutes.\n', '\nHeat vegetable oil in a large skillet over high heat. Add steak and cook quickly until browned, about 2–3 minutes.\n', '\nAdd sliced onion and tomatoes and stir-fry 2–3 minutes until slightly softened but still vibrant. Pour the remaining marinade in and cook for 2-3 minutes until the sauce thickens.\n', '\nWarm tortillas. Divide rice, steak mixture, and cooked fries among the tortillas.\n', '\nRoll into burritos and toast in a large skillet over medium heat\xa02-3 minutes or until both sides are evenly toasted. Drizzle generously with Lee Kum Kee Cilantro Lime Flavored Sriracha Sauce\xa0before serving.\n\xa0\nFind more 30-minute dinner ideas for inspiration on our recipes page!\n']"
ebi-katsu-curry-sando-shrimp-katsu-recipe,"['12-16 large shrimp, peeled and deveined', '½ tsp. salt', '½ tsp. black pepper', '¼ cup all-purpose flour, for dredging ', '2 large eggs', '1 tsp. vegetable oil', '1 cup panko breadcrumbs', '2 cups vegetable oil, for frying', '8 slices milk bread', '1 cup green cabbage, finely shredded']",['4 Tbsp. Lee Kum Kee Sriracha Mayo'],[],"['3 Tbsp. unsalted butter', '¼ cup all-purpose flour', '1½ Tbsp. curry powder', '1 cup chicken broth', '1 Tbsp. Lee Kum Kee Panda Brand Oyster Sauce', '1 Tbsp. Lee Kum Kee Premium Soy Sauce']","['\nRoughly chop half of the shrimp and finely mince the remaining shrimp until paste-like. Combine with salt and black pepper and mix until slightly sticky. Divide into 4 flat patties about the size of the bread and chill 10–15 minutes to firm.\n', '\nDredge each shrimp patty in flour. Beat eggs with 1 tsp vegetable oil, dip the patties into the egg, then coat thoroughly with panko while maintaining the patty shape.\n', '\nHeat vegetable oil in a skillet over medium heat and fry the shrimp patties 3–4 minutes per side until golden brown and crispy. Transfer to a rack.\n', '\nMelt butter in a small pan over medium heat. Whisk in flour and cook for 3–4 minutes until golden. Stir in curry powder, then whisk in chicken broth, Lee Kum Kee Panda Brand Oyster Sauce, and Lee Kum Kee Premium Soy Sauce. Simmer until thickened, about 7–8 minutes.\n', '\nSpread Lee Kum Kee Sriracha Mayo\xa0on the bread slices. Layer shredded cabbage and a shrimp katsu patty onto four slices, spoon over the curry oyster sauce, then top with the remaining bread and slice in half.\n\xa0\nFind more Japanese inspired recipes on our recipes page!\n']"
creamy-mapo-tofu-udon-recipe,"['12 oz. frozen udon noodles', '1 Tbsp. neutral oil', '12 oz. ground pork', '2 stalks green onions, thinly sliced']","['-- FOR THE MAPO PORK MIXTURE -- ', '1 tsp. Lee Kum Kee Minced Ginger', '2 tsp. Lee Kum Kee Chili Bean Sauce (Toban Djan)', '2 tsp.  Lee Kum Kee Chili Garlic Sauce', '1 Tbsp. Lee Kum Kee Premium Oyster Sauce', '1 tsp. Lee Kum Kee Premium Dark Soy Sauce', '1 tsp. Shaoxing cooking wine', '1 tsp. sugar', '½ tsp. Sichuan peppercorn powder', '-- FOR GARNISH -- ', '2 Tbsp. Lee Kum Kee Chiu Chow Style Chili Crisp Oil']",[],"['12 oz. silken tofu', '1 Tbsp. peanut butter', '¼ tsp. Lee Kum Kee Chicken Bouillon Powder', '½ cup unsweetened soy milk']","['\nCook udon noodles according to package instructions. Drain well and divide into serving bowls.\n', '\nHeat neutral oil in a large skillet over medium-high heat. Add ground pork and cook 3–4 minutes until browned and most of the liquid evaporates. Stir in Lee Kum Kee Minced Ginger and Lee Kum Kee Chili Bean Sauce and cook 30 seconds.\n', '\nAdd Lee Kum Kee Chili Garlic Sauce, Lee Kum Kee Premium Oyster Sauce, Lee Kum Kee Premium Dark Soy Sauce, Shaoxing wine, sugar, and Sichuan peppercorn powder. Stir-fry 2–3 minutes until the pork is glossy and well seasoned.\n', '\nIn a blender, combine silken tofu, peanut butter, Lee Kum Kee Chicken Bouillon Powder, and soy milk. Blend until completely smooth and creamy.\n', '\nSpoon the seasoned pork over the udon, pour the creamy tofu sauce generously over the noodles, then garnish with Lee Kum Kee Chiu Chow Style Chili Crisp Oil and sliced green onions before serving.\n\xa0\nFind more 30 minute Asian fusion dinners on our recipes page!\n']"
spicy-yuzu-tamago-sando-recipe,"['Water, for boiling', '6 large eggs', 'Ice water bath, for cooling the eggs', '8 slices milk bread (shokupan or soft white bread)', '2 Tbsp. unsalted butter, softened', 'Chives, chopped, for garnish']",['2 Tbsp. Lee Kum Kee Yuzu Flavored Sriracha Sauce'],[],[],"['\nBring a saucepan of water to a boil. Gently add eggs and cook for 7 minutes for jammy centers. Transfer to ice water to cool, then peel.\n\xa0\nPro Tip: To ensure even and thorough cooking, eggs should be at room temperature before adding to boiling wtaer.\n', '\nSet aside 2 eggs whole. Roughly chop the remaining 4 eggs and place in a bowl with Lee Kum Kee Sriracha Mayo, sugar, and salt. Mash lightly to form a creamy egg salad.\n', '\nLightly butter the bread slices. Spread a thick layer of the egg salad onto four slices of bread. Slice the reserved jammy eggs in half and tuck them cut-side down into the center of the egg salad so the yolks will show when cut.\n', '\nSpoon a little more egg salad around the eggs to secure them, then top with the remaining bread slices and gently press. Trim crusts.\n', '\nSlice each sandwich in half to reveal the jammy egg center, drizzle lightly with Lee Kum Kee Yuzu Flavored Sriracha Sauce,\xa0and garnish with chives.\xa0\n\xa0\nFind more spicy Yuzu recipes on our product page for Yuzu Sriracha!\n']"
spicy-creamy-pasta-recipe-with-rose-pasta-sauce,"['12 oz. Casarecce, Cascatelli, or Radiatori pasta (or pasta of choice)', '1 Tbsp. olive oil', '1 lb. boneless skinless chicken breast, cut into bite-size pieces', '1 tsp. salt', '½ tsp. black pepper', '1 tsp. Lee Kum Kee Minced Garlic', '2 Tbsp. shallot, minced', '1 cup marinara sauce', '¾ cup heavy cream', '1 cup mozzarella cheese, shredded', '½ cup Parmesan cheese, grated', '2 Tbsp. fresh parsley, finely chopped']",['2 Tbsp. Lee Kum Kee Lee Kum Kee Sriracha Chili Sauce'],[],[],"['\nCook pasta in salted boiling water according to package directions until al dente. Reserve ½ cup pasta water, then drain and set aside.\n', '\nHeat olive oil in a large skillet over medium-high heat. Add chicken, salt, and black pepper and cook until golden and cooked through, about 5–6 minutes.\n', '\nStir in shallot, Lee Kum Kee Minced Garlic and cook 30 seconds until fragrant. Add marinara sauce and Lee Kum Kee Sriracha Chili Sauce, stirring to combine.\n', '\nPour in heavy cream and bring to a gentle simmer. Add mozzarella and Parmesan, stirring until melted and creamy. Toss in the cooked pasta and a splash of reserved pasta water if needed to loosen the sauce.\n', '\nServe warm and garnish with chopped parsley and additional Parmesan if desired.\n\xa0\nFind more easy 30 minute meals on our recipes page!\n']"
chili-crisp-sourdough-recipe-with-cheddar-and-scallions,"['1 cup active sourdough starter', ' 1 ¼ cups warm water', ' 3 ½ cups bread flour', ' 1 ½ tsp. salt', ' 1 cup sharp cheddar cheese, shredded', ' 3 stalks scallions, thinly sliced', ' 3 Tbsp. unsalted butter, softened']","['3 Tbsp. Lee Kum Kee Chili Crisp Original, 2 for mixing and 1 for garnish']",[],[],"['\nIn a large bowl, stir together sourdough starter and warm water. Add bread flour and salt and mix until a shaggy dough forms. Cover and let rest 30 minutes.\n\xa0\nSee the recipe intro for tips if you are making your own sourdough starter prior to making this sourdough recipe.\n', '\nKnead or stretch and fold the dough until smoother. Cover and let rise at room temperature 3–4 hours until slightly puffy. This is your bulk fermentation. \n\xa0\nAfter 3-4 hours, fold in shredded cheddar, scallions, and 2 Tbsp. of Lee Kum Kee Chili Crisp Original until well combined. Cover and refrigerate overnight, 12-18 hours.\n', '\nThe next day, remove dough from the refrigerator and let sit at room temperature for about 45–60 minutes. Shape into a round loaf and place on parchment while the oven preheats to 425°F.\n', '\nScore the top of the dough and bake 30–35 minutes until the loaf is golden brown with a crisp crust.\n', '\nLet the sourdough cool slightly, then slice and spread with softened butter. Drizzle with the remaining Lee Kum Kee Chii Crisp Original before serving.\n\xa0\nFind more recipes using Chili Crisp on our product page to get more ideas!\n']"
tuna-melt-recipe-with-korean-spicy-tuna,"['2 (5 oz.) cans spicy tuna, drained', '2 Tbsp. green onions, finely sliced (about 1 stalk)', '½ cup shredded cheddar cheese', '2 Tbsp. butter, softened', '8 slices sourdough bread']","['3 Tbsp. Lee Kum Kee Sriracha Mayo Dressing/Spread', '1 tsp. Lee Kum Kee Pure Sesame Oil', '1 tsp. Lee Kum Kee Minced Garlic']",[],[],"['\nIn a bowl, mix spicy tuna with Lee Kum Kee Sriracha Mayo, Lee Kum Kee Pure Sesame Oil, Lee Kum Kee Minced Garlic, green onions, and cheddar cheese until creamy and well combined.\n', '\nSpread butter on one side of each slice of sourdough bread. Place four slices butter-side down on a work surface.\n', '\nDivide the tuna mixture evenly onto the bread and top with the remaining slices, butter-side up.\n', '\nHeat a skillet over medium heat and cook the sandwiches 3–4 minutes per side until the bread is golden brown and the filling is hot and melty.\n', '\nSlice in half and serve warm. Enjoy, and check out more\xa0Asian inspired\xa0recipes in under 30 minutes on our recipes page!\n']"
dumpling-lasagna-recipe-with-kimchi-and-pork,"['12 oz. ground pork', '2 Tbsp. finely chopped kimchi, plus extra for garnish', '2 Tbsp. green onions, finely chopped', '¼ tsp. black pepper', '16 round dumpling wrappers', '½ cup water', '1 tsp. toasted sesame seeds']","['1 Tbsp. Lee Kum Kee Panda Brand Oyster Flavored Sauce ', '1 tsp. Lee Kum Kee Minced Garlic', '1 tsp. Lee Kum Kee Minced Ginger', '1 tsp. Lee Kum Kee Pure Sesame Oil', '1 Tbsp. Lee Kum Kee Chiu Chow Style Chili Crisp Oil', '1 Tbsp. Lee Kum Kee Premium Soy Sauce']",[],[],"['\nIn a bowl, combine ground pork, chopped kimchi, Lee Kum Kee Panda Brand Oyster Sauce, Lee Kum Kee Minced Garlic, Lee Kum Kee Minced Ginger, Lee Kum Kee Pure Sesame Oil, green onions, and black pepper. Mix until evenly combined.\n', '\nSpoon a layer of the pork mixture into the bottom of small ramekins. Top with a dumpling wrapper, then another layer of pork mixture.\n', '\nPour about 2 Tbsp water into each ramekin so the dumpling wrapper can steam properly. Press another dumpling wrapper on top to finish the layered “lasagna.”\n', '\nPlace the ramekins into a pot with water halfway up the sides. Cover and steam for 12–15 minutes until the pork is fully cooked and the dumpling layers are tender.\n', '\nDrizzle with Lee Kum Kee Premium Soy Sauce and garnish with Lee Kum Kee Chiu Chow Style Chili Crisp Oil. Sprinkle with sesame seeds and top with more kimchi before serving.\n\xa0\nFind more easy dumpling and noodles recipes on our recipes page!\n']"
pancit-noodles-recipe-by-chef-tiana-gee,"['8 oz. rice noodles (or bihon), soaked and drained', '1 Tbsp. neutral oil', '2 Tbsp Lee Kum Kee Minced Garlic', '1 small onion, sliced', '1/2 lb. chicken breast, sliced', '1 cup cabbage, shredded', '1/2 cup carrots, julienned', '1/2 cup snap peas or green beans', '1 1/2 cups chicken broth', '1 large egg per serving (about 3-4 eggs) ', 'Green onions, for garnish ', 'lemon wedges, for garnish']","['¼ cup Lee Kum Kee Premium Soy Sauce', '¼ cup Lee Kum Kee Premium Dark Soy Sauce', '3 Tbsp. Lee Kum Kee Premium Oyster Sauce', 'Salt and Black pepper, to taste', '1 Tbsp. Lee Kum Kee Chili Crisp Original per egg you are frying (3-4 total)']",[],[],"['\nHeat oil in a large pan or wok over medium heat. Sauté Lee Kum Kee Minced Garlic and onions until fragrant.\n', '\nAdd chicken and cook through, about 4-5 minutes, while ensuring each piece gets nice color. Stir in vegetables (carrots, cabbage, and snap peas or green beans) and cook for 1-2 minutes until tender.\n', '\nAdd the soaked rice noodles and broth into the pan and toss gently to combine. Season with Lee Kum Kee Premium Soy Sauce, Premium Oyster Sauce, and Premium Dark Soy Sauce, continuing to toss until the noodles absorb the seasoning and are tender.\n', '\nSeason with salt and black pepper to taste, then remove from the heat. During this time, you can fry eggs in a small pan with a tablespoon of Lee Kum Kee Chili Crisp Original per egg.\xa0\n', ""\nAdd noodles to bowls for serving, and garnish each bowl with green onions. Serve with lemon wedges and a chili crisp fried egg on top.\n\xa0\nEnjoy, and don't forget to check out our recipes page for more dinner ideas!\n""]"
